impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,65536,1,0,estimate,1,2048,0.384704666,1.878440752e-04,27.910808,0.000373034,32668.126807
fftw,65536,2,0,estimate,1,4096,0.464150144,1.133179063e-04,46.267004,0.000389748,32668.126807
fftw,65536,4,0,estimate,1,8192,0.566201286,6.911636792e-05,75.855838,0.000428276,32668.126807
fftw,65536,8,0,estimate,1,8192,0.364856144,4.453810352e-05,117.716732,0.000620858,32668.126807
fftw,65536,16,0,estimate,1,8192,0.512443696,6.255416211e-05,83.813448,0.000973440,32668.126807
fftw,65536,24,0,estimate,1,1024,0.325760962,3.181259395e-04,16.480517,0.001128324,32668.126807
fftw,262144,1,0,estimate,1,256,0.350083768,1.367514719e-03,17.252436,0.002043232,130487.846205
fftw,262144,2,0,estimate,1,512,0.355965346,6.952448164e-04,33.934751,0.001217352,130487.846205
fftw,262144,4,0,estimate,1,1024,0.365579120,3.570108594e-04,66.084712,0.001728002,130487.846205
fftw,262144,8,0,estimate,1,2048,0.404490012,1.975048887e-04,119.455068,0.001470772,130487.846205
fftw,262144,16,0,estimate,1,2048,0.438552826,2.141371221e-04,110.176880,0.000946398,130487.846205
fftw,262144,24,0,estimate,1,2048,0.445470326,2.175148076e-04,108.465995,0.002600686,130487.846205
fftw,1048576,1,0,estimate,1,32,0.329543980,1.029824938e-02,10.182080,0.001074140,524410.208363
fftw,1048576,2,0,estimate,1,64,0.412292558,6.442071219e-03,16.277001,0.001286096,524410.208363
fftw,1048576,4,0,estimate,1,128,0.390006012,3.046921969e-03,34.414272,0.001601684,524410.208363
fftw,1048576,8,0,estimate,1,256,0.372641172,1.455629578e-03,72.035909,0.002152336,524410.208363
fftw,1048576,16,0,estimate,1,256,0.428396902,1.673425398e-03,62.660457,0.003920300,524410.208363
fftw,1048576,24,0,estimate,1,512,0.485731632,9.486945938e-04,110.528299,0.005093186,524410.208363
fftw,4194304,1,1,estimate,1,4,0.136951508,3.423787700e-02,13.475527,0.001275848,1677166118669831257439862784.000000
fftw,4194304,2,1,estimate,1,4,0.130483386,3.262084650e-02,14.143515,0.001492118,1677166118669831257439862784.000000
fftw,4194304,4,1,estimate,1,8,0.156277204,1.953465050e-02,23.618208,0.001757642,519057772708559915739004104932416274344220917082619904.000000
fftw,4194304,8,1,estimate,1,8,0.113761870,1.422023375e-02,32.444856,0.002347084,519057772708559915739004104932416274344220917082619904.000000
fftw,4194304,16,1,estimate,1,8,0.134655546,1.683194325e-02,27.410587,0.003423948,519057772708559915739004104932416274344220917082619904.000000
fftw,4194304,24,1,estimate,1,8,0.129808296,1.622603700e-02,28.434142,0.028347794,519057772708560085880187565401648006031524632966725632.000000
fftw,16777216,1,1,estimate,1,1,0.174553816,1.745538160e-01,11.533783,0.001241152,66707160.982253
fftw,16777216,2,1,estimate,1,1,0.153875490,1.538754900e-01,13.083734,0.001500676,66707160.982253
fftw,16777216,4,1,estimate,1,2,0.182472044,9.123602200e-02,22.066568,0.001915404,1251126401183516.250000
fftw,16777216,8,1,estimate,1,2,0.127834348,6.391717400e-02,31.498043,0.002633358,1251126401183516.250000
fftw,16777216,16,1,estimate,1,2,0.146753328,7.337666400e-02,27.437414,0.004169158,1251126401183516.250000
fftw,16777216,24,1,estimate,1,2,0.192288026,9.614401300e-02,20.940107,0.099428768,1251126401183515.500000
fftw,67108864,1,1,estimate,1,1,1.091829074,1.091829074e+00,7.990401,0.001425222,231504665.697283
fftw,67108864,2,1,estimate,1,1,0.630044268,6.300442680e-01,13.846888,0.001828760,231504665.697283
fftw,67108864,4,1,estimate,1,1,0.381241152,3.812411520e-01,22.883554,0.002458182,231504665.697283
fftw,67108864,8,1,estimate,1,1,0.303516552,3.035165520e-01,28.743580,0.003782088,231504665.697283
fftw,67108864,16,1,estimate,1,1,0.259933840,2.599338400e-01,33.562972,0.006252780,231504665.697283
fftw,67108864,24,1,estimate,1,1,0.428486652,4.284866520e-01,20.360383,0.371260040,231504665.697283
ours,65536,1,0,estimate,1,64,0.459069836,7.172966188e-03,0.730922,0.002354240,inf
ours,65536,2,0,estimate,1,128,0.520175692,4.063872594e-03,1.290119,0.001101576,-nan
ours,65536,4,0,estimate,1,256,0.557934288,2.179430813e-03,2.405619,0.001020122,-nan
ours,65536,8,0,estimate,1,256,0.313827924,1.225890328e-03,4.276794,0.001533124,-nan
ours,65536,16,0,estimate,1,256,0.378152140,1.477156797e-03,3.549305,0.001036982,-nan
ours,65536,24,0,estimate,1,512,1.337815200,2.612920313e-03,2.006521,0.001035908,-nan
ours,262144,1,0,estimate,1,16,0.515986662,3.224916637e-02,0.731584,0.005054366,1972400422369674900392575419145428207719777466386235227792484327291095411680748026986496.000000
ours,262144,2,0,estimate,1,32,0.543179788,1.697436837e-02,1.389917,0.007730918,994252030760575673960985797141282097052847391218693740323676736696198553483721176371901361822534339285250058144125566948423578704031605105828719580485906672590449432101650432.000000
ours,262144,4,0,estimate,1,64,0.585025624,9.141025375e-03,2.580997,0.004438096,-nan
ours,262144,8,0,estimate,1,64,0.322861066,5.044704156e-03,4.676778,0.005775128,-nan
ours,262144,16,0,estimate,1,64,0.400127776,6.251996500e-03,3.773668,0.004859714,-nan
ours,262144,24,0,estimate,1,128,0.552346100,4.315203906e-03,5.467403,0.005517820,-nan
ours,1048576,1,0,estimate,1,4,0.577488180,1.443720450e-01,0.726301,0.017504970,4913574186337555319881728.000000
ours,1048576,2,0,estimate,1,4,0.304472178,7.611804450e-02,1.377566,0.017344116,4913574186337555319881728.000000
ours,1048576,4,0,estimate,1,8,0.321695592,4.021194900e-02,2.607623,0.017620914,5831011516519223547220286041157633970311549419520.000000
ours,1048576,8,0,estimate,1,16,0.347742848,2.173392800e-02,4.824604,0.022868744,8880949409550157495732190767646361912993596675983263017279541802455483961163593950799302806732800.000000
ours,1048576,16,0,estimate,1,16,0.444791200,2.779945000e-02,3.771931,0.021378242,8880949409550157495732190767646361912993596675983263017279541802455483961163593950799302806732800.000000
ours,1048576,24,0,estimate,1,16,0.300486604,1.878041275e-02,5.583349,0.024627886,8880949409550157495732190767646361912993596675983263017279541802455483961163593950799302806732800.000000
